id,customer,city,amount
1,Ravi,Bangalore,520
2,Maya,Delhi,730
3,Arjun,Mumbai,410
4,Neha,Chennai,640
5,Ravi,Bangalore,210
6,Karan,Delhi,890
7,Sneha,Mumbai,550
8,Ankit,Hyderabad,620
9,Priya,Pune,470
10,Varun,Bangalore,390
11,Ravi,Bangalore,820
12,Maya,Delhi,610
13,Arjun,Mumbai,330
14,Neha,Chennai,720
15,Karan,Delhi,540
16,Sneha,Mumbai,460
17,Ankit,Hyderabad,680
18,Priya,Pune,510
19,Varun,Bangalore,370
20,Ravi,Bangalore,450
21,Maya,Delhi,770
22,Arjun,Mumbai,590
23,Neha,Chennai,430
24,Karan,Delhi,910
25,Sneha,Mumbai,320
26,Ankit,Hyderabad,740
27,Priya,Pune,660
28,Varun,Bangalore,280
29,Ravi,Bangalore,530
30,Maya,Delhi,620
31,Arjun,Mumbai,480
32,Neha,Chennai,700
33,Karan,Delhi,840
34,Sneha,Mumbai,560
35,Ankit,Hyderabad,600
36,Priya,Pune,450
37,Varun,Bangalore,390
38,Ravi,Bangalore,760
39,Maya,Delhi,520
40,Arjun,Mumbai,610
41,Neha,Chennai,470
42,Karan,Delhi,950
43,Sneha,Mumbai,430
44,Ankit,Hyderabad,690
45,Priya,Pune,570
46,Varun,Bangalore,360
47,Ravi,Bangalore,810
48,Maya,Delhi,640
49,Arjun,Mumbai,510
50,Neha,Chennai,730
51,Karan,Delhi,880
52,Sneha,Mumbai,460
53,Ankit,Hyderabad,620
54,Priya,Pune,540
55,Varun,Bangalore,300
56,Ravi,Bangalore,690
57,Maya,Delhi,580
58,Arjun,Mumbai,420
59,Neha,Chennai,760
60,Karan,Delhi,930
61,Sneha,Mumbai,470
62,Ankit,Hyderabad,710
63,Priya,Pune,650
64,Varun,Bangalore,340
65,Ravi,Bangalore,540
66,Maya,Delhi,610
67,Arjun,Mumbai,560
68,Neha,Chennai,720
69,Karan,Delhi,890
70,Sneha,Mumbai,410
71,Ankit,Hyderabad,670
72,Priya,Pune,520
73,Varun,Bangalore,380
74,Ravi,Bangalore,770
75,Maya,Delhi,600
76,Arjun,Mumbai,490
77,Neha,Chennai,740
78,Karan,Delhi,910
79,Sneha,Mumbai,450
80,Ankit,Hyderabad,630
81,Priya,Pune,580
82,Varun,Bangalore,350
83,Ravi,Bangalore,820
84,Maya,Delhi,660
85,Arjun,Mumbai,540
86,Neha,Chennai,710
87,Karan,Delhi,870
88,Sneha,Mumbai,420
89,Ankit,Hyderabad,700
90,Priya,Pune,610
91,Varun,Bangalore,390
92,Ravi,Bangalore,750
93,Maya,Delhi,630
94,Arjun,Mumbai,480
95,Neha,Chennai,720
96,Karan,Delhi,940
97,Sneha,Mumbai,460
98,Ankit,Hyderabad,680
99,Priya,Pune,560
100,Varun,Bangalore,370
